Feb 02 16:21:44 Holocron vikunja[26640]: 2026-02-02T16:21:44+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/uk-DvjOkLdc.js 509.559µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:44 Holocron vikunja[26640]: 2026-02-02T16:21:44+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/uk-legacy-BcC1CRWG.js 455.573µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:44 Holocron vikunja[26640]: 2026-02-02T16:21:44+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/uk-UA-legacy-CWleX0n9.js 6.455822ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:44 Holocron vikunja[26640]: 2026-02-02T16:21:44+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/uk-UA-QKLIHqjy.js 6.074351ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/useCopyToClipboard-BbCgRPUy.js 248.005µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/useCopyToClipboard-legacy-DIs8Tn_r.js 894.593µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/vi-legacy-B-1xZwk4.js 378.398µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/vi-OuINsBJz.js 339.497µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/vi-VN-D6fPGvzA.js 5.003339ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/vi-VN-legacy-Bd9akHpW.js 4.801917ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/zh-CN-D-EZ1AWa.js 11.675529ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/zh-cn-DnE_LT7W.js 388.107µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/zh-CN-legacy-BVSd5i69.js 4.217349ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/zh-cn-legacy-C7u3VxYX.js 462.976µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/zh-TW-Cfg6SYOQ.js 4.55056ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/zh-TW-legacy-B_FrH4ze.js 4.568299ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /index.html 356.468µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /images/icons/android-chrome-192x192.png 754.841µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /images/icons/android-chrome-512x512.png 1.188624ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:45 Holocron vikunja[26640]: 2026-02-02T16:21:45+01:00: WEB         ▶ 31.169.53.64  GET 200 /images/icons/icon-maskable.png 1.111799ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:46 Holocron vikunja[26640]: 2026-02-02T16:21:46+01:00: WEB         ▶ 31.169.53.64  GET 200 /manifest.webmanifest 291.656µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:46 Holocron vikunja[26640]: 2026-02-02T16:21:46+01:00: WEB         ▶ 31.169.53.64  GET 200 /login 328.602µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:46 Holocron vikunja[26640]: 2026-02-02T16:21:46+01:00: WEB         ▶ 31.169.53.64  GET 304 /assets/index-i4VRmjeA.css 162.659µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:46 Holocron vikunja[26640]: 2026-02-02T16:21:46+01:00: WEB         ▶ 31.169.53.64  GET 304 /assets/index-BdIWn3Ve.js 167.478µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:47 Holocron vikunja[26640]: 2026-02-02T16:21:47+01:00: WEB         ▶ 31.169.53.64  GET 200 /api/v1/info 201.84µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:47 Holocron vikunja[26640]: 2026-02-02T16:21:47+01:00: WEB         ▶ 31.169.53.64  GET 304 /sw.js 154.418µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:23:26 Holocron vikunja[26640]: 2026-02-02T16:23:26+01:00: ERROR        ▶ 0f7 Wrong username or password
Feb 02 16:23:26 Holocron vikunja[26640]: 2026-02-02T16:23:26+01:00: WEB         ▶ 31.169.53.64  POST 412 /api/v1/login 965.476366ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
